Магазин,Ссылка на магазин,Год основания,Продажи
CarrickMillAntiques,https://www.etsy.com/shop/CarrickMillAntiques,2020,470
mimizukuart,https://www.etsy.com/shop/mimizukuart,2015,676
MIENBerlin,https://www.etsy.com/shop/MIENBerlin,2016,"4,385"
IzouBijoux,https://www.etsy.com/shop/IzouBijoux,2012,"2,236"
CloesCloset,https://www.etsy.com/shop/CloesCloset,2011,"12,761"
TheHmongBags,https://www.etsy.com/shop/TheHmongBags,2016,"1,226"
frostpfoetchen,https://www.etsy.com/shop/frostpfoetchen,2013,"2,627"
StacyLavelleDesigns,https://www.etsy.com/shop/StacyLavelleDesigns,2013,"8,906"
JudiJumble,https://www.etsy.com/shop/JudiJumble,2012,"11,007"
LuluCrossing,https://www.etsy.com/shop/LuluCrossing,2015,"1,124"
MamaBleuDesigns,https://www.etsy.com/shop/MamaBleuDesigns,2010,"10,711"
vquadroitaly,https://www.etsy.com/shop/vquadroitaly,2010,266
TheGiftyRoom,https://www.etsy.com/shop/TheGiftyRoom,2016,"18,978"
EstherLous,https://www.etsy.com/shop/EstherLous,2016,197
ShopingMarket,https://www.etsy.com/shop/ShopingMarket,2015,640
TeslerMendelovitch,https://www.etsy.com/shop/TeslerMendelovitch,2013,135
ljcdesignss,https://www.etsy.com/shop/ljcdesignss,2012,"44,178"
TAPISHODESIGN,https://www.etsy.com/shop/TAPISHODESIGN,2013,"1,277"
MadameZouzou,https://www.etsy.com/shop/MadameZouzou,2012,414
HoltzLeather,https://www.etsy.com/shop/HoltzLeather,2014,"37,215"
MaddieKayDesign,https://www.etsy.com/shop/MaddieKayDesign,2010,"11,569"
WhirleyShirley,https://www.etsy.com/shop/WhirleyShirley,2011,"2,277"
ipolitaja,https://www.etsy.com/shop/ipolitaja,,0
